"","real","fit"
"1",5,5.78740001759217
"2",4.83,7.17751932591805
"3",4.07,4.04905553832734
"4",5,8.23910787597829
"5",NA,8.91320057754781
"6",NA,10.583467410039
"7",NA,10.4214025895874
"8",NA,12.1678395006859
"9",NA,15.7180267447261
"10",NA,21.3782893877679
"11",23,21.7545469676575
"12",19.67,19.3911403751224
"13",12.67,13.1949393551726
"14",13.1,14.6872474871762
"15",4.65,6.70174370256138
"16",5.2,6.7554740704694
"17",7.4,8.51061087442961
"18",8.5,7.36654136141553
"19",12.5,7.89555866943915
"20",17.67,16.7998224251711
"21",29.97,24.4087169777564
"22",32.47,27.5380238235725
"23",9.27,11.5423618847233
"24",5.4,8.26547475675059
