obstime,stnpres,seapres,stnpresmax,stnpresmaxtime,stnpresmin,stnpresmintime,temperature,tmax,tmaxtime,tmin,tmintime,tddewpoint,ws,wd,wsgust,wdgust,wgusttime,precp,precphour,precpday,precpmax10,precpmax10time,precphrmax,precphrmaxtime,precp1daymax,precp1daymaxtime,rh,evapa,sunshine,globlrad,uvimaxmean,uvimax,uvimaxtime,cloudamount,year
1,1018.6,1019,1027.3,2010-01-14 08:35,1012.3,2010-01-04 14:51,19.9,28.6,2010-01-31 13:13,10.9,2010-01-13 03:22,14.5,1.9,350,11.6,330,2010-01-25 14:49,1.5,3.4000001,2,.5,2010-01-08 11:05,.5,2010-01-08 10:40,1,2010-01-03 00:00,72,83.699997,199.8,373.23999,5,7,2010-01-31 13:00,3.5,2010
2,1015.5,1015.9,1021.5,2010-02-18 11:24,1009.8,2010-02-26 14:59,21.5,30.5,2010-02-11 14:21,12,2010-02-19 05:18,16.700001,1.9,350,11.2,300,2010-02-07 14:23,10.5,11,3,2,2010-02-16 00:05,2.5,2010-02-19 12:40,4,2010-02-19 00:00,74,81.599998,184.3,350.56,5,8,2010-02-11 13:00,4.5,2010
3,1015.6,1016,1025,2010-03-10 09:17,1007.6,2010-03-23 15:41,23.700001,31.9,2010-03-14 13:11,12.7,2010-03-10 07:54,17.700001,1.8,310,12.9,340,2010-03-25 11:24,1,1.4,1,1,2010-03-09 13:26,1,2010-03-09 13:26,1,2010-03-09 00:00,69,119.7,226.60001,485.85999,6,9,2010-03-14 13:00,4.0999999,2010
4,1013.7,1014.1,1020,2010-04-17 10:27,1007.5,2010-04-11 15:49,24.9,32.900002,2010-04-21 13:35,17.4,2010-04-16 04:08,19.799999,2.0999999,310,11.8,130,2010-04-11 11:05,48,25.1,7,3.5,2010-04-23 09:06,8,2010-04-23 08:24,19.5,2010-04-23 00:00,74,114.4,187.60001,459.54001,6,10,2010-04-20 12:00,5.5,2010
5,1008.8,1009.2,1016.5,2010-05-01 09:33,1002.2,2010-05-23 13:28,27.799999,33.299999,2010-05-27 12:10,21.200001,2010-05-01 03:47,22.799999,2.0999999,310,18,270,2010-05-23 13:49,188,38.299999,7,14.5,2010-05-23 13:22,41,2010-05-23 13:22,88.5,2010-05-30 00:00,75,142.39999,238.60001,592.29999,8,11,2010-05-27 12:00,5.1999998,2010
6,1008.4,1008.8,1011.2,2010-06-22 22:02,1003,2010-06-25 04:34,28.299999,33.200001,2010-06-30 12:58,23.799999,2010-06-04 01:48,24.200001,1.8,170,14.4,340,2010-06-15 14:16,257,44.099998,11,11.5,2010-06-13 18:26,21,2010-06-11 09:21,62,2010-06-13 00:00,79,120.8,186.10001,518.64001,8,11,2010-06-27 13:00,6.3000002,2010
7,1009,1009.3,1012.6,2010-07-17 21:58,1005.5,2010-07-25 16:16,29.5,35.900002,2010-07-15 14:36,24.200001,2010-07-27 07:20,24.6,2,310,14.7,230,2010-07-27 07:11,437,64.800003,10,20,2010-07-28 08:02,52,2010-07-27 01:47,129,2010-07-27 00:00,76,152.3,230.5,568.98999,9,11,2010-07-13 13:00,5.5999999,2010
8,1007.9,1008.2,1014.2,2010-08-19 08:50,999.70001,2010-08-31 22:46,29.4,34.400002,2010-08-01 12:23,25.299999,2010-08-26 04:29,25,1.8,290,13.7,160,2010-08-31 23:53,164.7,36,17,9.5,2010-08-10 12:04,26,2010-08-10 11:26,67,2010-08-10 00:00,78,140.3,216.39999,546.12,9,12,2010-08-11 12:00,5.4000001,2010
9,1008.6,1009,1014.6,2010-09-26 09:52,989,2010-09-19 14:47,28.299999,34.799999,2010-09-03 13:49,23,2010-09-20 06:13,24.5,2.8,160,29.5,210,2010-09-19 16:29,853,102.3,12,14.5,2010-09-19 15:44,53.5,2010-09-19 18:50,426.5,2010-09-19 00:00,80,104.8,169.8,422.14999,7,10,2010-09-11 13:00,5.6999998,2010
10,1010.3,1010.7,1019,2010-10-31 08:33,997.90002,2010-10-22 05:18,27,32.5,2010-10-12 11:47,19,2010-10-31 05:35,22.4,1.9,350,20.299999,150,2010-10-22 15:08,175.5,38.599998,9,15,2010-10-07 18:32,42,2010-10-08 15:01,71.5,2010-10-08 00:00,76,102.6,177.39999,402.85001,6,8,2010-10-09 13:00,5.1999998,2010
