obstime,stnpres,seapres,stnpresmax,stnpresmaxtime,stnpresmin,stnpresmintime,temperature,tmax,tmaxtime,tmin,tmintime,tddewpoint,ws,wd,wsgust,wdgust,wgusttime,precp,precphour,precpday,precpmax10,precpmax10time,precphrmax,precphrmaxtime,precp1daymax,precp1daymaxtime,rh,evapa,sunshine,globlrad,uvimaxmean,uvimax,uvimaxtime,cloudamount,year
3,1014,1017.4,1021.7,2016-03-02 08:50,1006.1,2016-03-18 15:04,18.700001,31.9,2016-03-18 13:51,8.8999996,2016-03-28 06:01,16,1.7,20,16,10,2016-03-13 21:23,129.7,108.1,14,19.5,2016-03-13 21:20,24.5,2016-03-13 20:40,31,2016-03-10 00:00,86,63.5,120.1,292.94,4,8,2016-03-26 12:00,7,2016
4,1009.1,1012.4,1016.5,2016-04-19 08:45,1001.7,2016-04-13 13:57,25.4,33.799999,2016-04-21 13:15,18.299999,2016-04-19 00:01,22.200001,1.6,250,13.9,10,2016-04-18 06:30,193.5,47,10,15.5,2016-04-14 17:24,44,2016-04-14 16:57,66.5,2016-04-14 00:00,84,107,165.5,424.81,7,10,2016-04-22 13:00,6.6999998,2016
5,1007.3,1010.6,1012.2,2016-05-14 09:16,1002.1,2016-05-24 16:04,27.9,37.200001,2016-05-27 13:45,19.700001,2016-05-17 02:43,23.799999,1.9,260,13.8,240,2016-05-27 14:42,33.5,22.1,10,3.5,2016-05-23 12:28,8.5,2016-05-11 14:47,9,2016-05-11 00:00,80,145,213.5,531.71002,8,12,2016-05-28 12:00,6.4000001,2016
6,1005.9,1009.1,1012.1,2016-06-29 22:32,1001.5,2016-06-08 16:02,29.1,36.799999,2016-06-28 13:36,23.9,2016-06-20 05:08,25,2.2,250,14.9,240,2016-06-12 10:04,262.5,53,19,18.5,2016-06-19 16:04,37,2016-06-19 15:56,88,2016-06-11 00:00,80,137.8,213.5,495,9,11,2016-06-03 12:00,6.4000001,2016
7,1004.1,1007.4,1010,2016-07-21 09:06,980.79999,2016-07-08 10:52,29.5,36.700001,2016-07-29 12:52,24.299999,2016-07-30 16:12,24.799999,2.2,260,20.299999,290,2016-07-30 16:04,208.7,51.5,16,15.5,2016-07-30 15:57,38,2016-07-09 17:41,85,2016-07-09 00:00,77,148.7,232.10001,533.65002,9,11,2016-07-05 12:00,5.8000002,2016
8,1000.9,1004.1,1007.9,2016-08-04 21:52,995.79999,2016-08-09 15:36,29,36.200001,2016-08-10 13:55,23.700001,2016-08-19 15:32,25.299999,1.4,250,13.2,240,2016-08-16 11:28,189.39999,40.200001,18,13,2016-08-24 16:27,25.799999,2016-08-24 16:15,40,2016-08-12 00:00,81,118.6,179.8,469.82001,8,11,2016-08-02 13:00,7,2016
9,1002.9,1006.2,1011.4,2016-09-21 21:59,962.40002,2016-09-27 16:14,27.6,34.700001,2016-09-01 14:19,23.200001,2016-09-21 04:57,24.200001,2,10,32.5,330,2016-09-27 14:16,637.20001,115.5,15,14.5,2016-09-05 14:29,44,2016-09-27 15:20,166.39999,2016-09-27 00:00,82,95.300003,146.89999,387.88,7,9,2016-09-16 13:00,6.5999999,2016
10,1007.1,1010.4,1016.2,2016-10-31 07:59,997.59998,2016-10-20 13:44,27.299999,34,2016-10-21 14:04,21.4,2016-10-31 04:56,23.4,1.3,360,13.1,240,2016-10-22 14:15,24.799999,39,8,3,2016-10-04 15:53,5,2016-10-06 03:56,8,2016-10-08 00:00,80,99.599998,168.60001,415.67001,6,9,2016-10-03 12:00,5.8000002,2016
11,1012.2,1015.6,1018.2,2016-11-29 09:57,1007,2016-11-05 14:08,23.4,32.5,2016-11-19 13:21,17.200001,2016-11-29 04:30,19.200001,1.5,10,13.2,30,2016-11-27 13:45,44.700001,42.5,6,7.5,2016-11-23 10:58,12,2016-11-23 10:29,19,2016-11-27 00:00,78,67.900002,138.8,320.19,5,6,2016-11-05 12:00,5.9000001,2016
12,1014.2,1017.6,1020.8,2016-12-16 09:24,1007.1,2016-12-09 14:49,20.4,30.4,2016-12-05 13:37,12.8,2016-12-28 07:37,15.5,1.9,360,13.9,20,2016-12-27 14:59,10,13.3,1,1,2016-12-28 11:51,3,2016-12-28 17:23,10,2016-12-28 00:00,75,72.199997,171.39999,324.10999,4,5,2016-12-13 12:00,5.1999998,2016
1,1015.3,1018.7,1022.8,2017-01-24 22:11,1006.1,2017-01-08 14:46,19,28.700001,2017-01-29 15:45,11.9,2017-01-28 04:18,14.1,1.9,360,10.5,330,2017-01-21 15:15,1.3,7.4000001,1,.5,2017-01-14 08:05,.5,2017-01-14 07:15,1.3,2017-01-14 00:00,74,70.5,173,359.16,5,6,2017-01-30 13:00,5.3000002,2017
2,1015.8,1019.2,1025.5,2017-02-14 08:48,1007.5,2017-02-05 15:58,18,31.1,2017-02-20 12:21,9.8000002,2017-02-11 05:58,12.7,2,360,12.8,360,2017-02-09 04:40,1.2,3.3,2,.5,2017-02-22 09:40,1,2017-02-22 09:30,1,2017-02-22 00:00,72,71.300003,134.8,332.32001,5,7,2017-02-20 12:00,6.1999998,2017
3,1012.5,1015.8,1020.1,2017-03-27 08:55,1005,2017-03-13 15:40,20.799999,31.9,2017-03-31 13:24,11.7,2017-03-03 05:35,16.200001,2,360,15.7,360,2017-03-31 23:23,18.4,16.1,5,1.5,2017-03-26 05:28,5,2017-03-08 07:43,10.5,2017-03-08 00:00,76,100.2,165.60001,431.64001,6,7,2017-03-23 13:00,6.3000002,2017
4,1009.6,1012.9,1018.9,2017-04-03 08:58,1002,2017-04-10 16:01,23.9,33.900002,2017-04-10 12:56,10,2017-04-02 05:35,18.700001,1.9,240,12.3,240,2017-04-10 15:20,105.9,36.400002,11,8,2017-04-19 22:55,19,2017-04-19 22:17,30.5,2017-04-12 00:00,75,113.9,171.10001,471.29001,6,9,2017-04-28 12:00,6.3000002,2017
5,1006.8,1010,1013.3,2017-05-06 08:35,1000.7,2017-05-31 18:12,27,36,2017-05-12 13:33,17.799999,2017-05-01 05:22,22.5,1.4,310,12.5,250,2017-05-12 15:21,77.800003,45.400002,9,6,2017-05-25 15:09,11.5,2017-05-30 14:42,27.5,2017-05-30 00:00,77,127.4,160.8,509.66,8,11,2017-05-21 13:00,7,2017
6,1005,1008.3,1008.9,2017-06-27 22:29,999.29999,2017-06-03 01:36,29,36.400002,2017-06-11 14:05,23.799999,2017-06-02 20:42,24.4,2.3,240,14.3,250,2017-06-02 13:11,578,82.699997,16,19.5,2017-06-17 04:40,40.5,2017-06-17 04:34,110,2017-06-17 00:00,78,132.60001,177.89999,475.84,10,14,2017-06-21 13:00,7.0999999,2017
7,1004.7,1008,1011,2017-07-07 22:11,987.20001,2017-07-30 17:51,28.9,36,2017-07-01 13:13,23.5,2017-07-31 04:44,24.799999,1.8,60,17.5,50,2017-07-08 17:34,663.20001,73.5,21,22.5,2017-07-06 17:14,75,2017-07-06 16:42,198,2017-07-31 00:00,80,141.3,192.2,447.70999,11,14,2017-07-07 12:00,6.8000002,2017
8,1003.9,1007.2,1011.1,2017-08-27 22:44,990.90002,2017-08-22 02:47,29.799999,35.799999,2017-08-26 13:47,23.9,2017-08-28 05:22,25,2,250,23.799999,260,2017-08-03 14:41,198.60001,35.200001,10,15,2017-08-27 15:08,55,2017-08-27 14:38,62,2017-08-27 00:00,76,153.3,214.3,571.21997,11,13,2017-08-14 13:00,6.1999998,2017
9,1006,1009.2,1011.5,2017-09-29 21:10,998.40002,2017-09-01 15:05,29.5,36.700001,2017-09-23 13:42,23.9,2017-09-16 04:58,24.5,1.5,290,12.1,220,2017-09-07 12:49,117.2,12.2,7,17.5,2017-09-02 15:07,61,2017-09-02 14:53,63.5,2017-09-02 00:00,76,142.2,228,546.78998,10,13,2017-09-11 12:00,5.1999998,2017
10,1007.6,1010.9,1016.8,2017-10-30 08:44,996.40002,2017-10-13 18:00,26.200001,36.5,2017-10-10 12:45,16.5,2017-10-23 06:19,21,1.7,10,12.7,360,2017-10-21 13:17,79,31.4,6,2.5,2017-10-05 15:27,6.5,2017-10-14 12:23,41,2017-10-15 00:00,74,122.6,207.5,461.5,7,10,2017-10-01 12:00,5.0999999,2017
11,1011.5,1014.9,1018.3,2017-11-24 09:15,1004.7,2017-11-17 15:02,23.299999,32.400002,2017-11-17 14:47,16.5,2017-11-01 05:21,19.1,1.7,10,10.4,360,2017-11-23 03:47,10.5,12.1,4,1,2017-11-12 15:25,2,2017-11-11 15:30,6.5,2017-11-11 00:00,78,83.800003,135.2,336.20001,6,8,2017-11-02 12:00,6.8000002,2017
12,1014.9,1018.3,1022.2,2017-12-20 09:38,1008.7,2017-12-03 15:49,18.6,27.1,2017-12-01 13:25,10.2,2017-12-22 06:43,14.5,2.0999999,10,14.9,360,2017-12-16 17:34,3.7,12.8,3,1,2017-12-09 02:07,1.5,2017-12-09 01:49,3,2017-12-09 00:00,78,71.199997,141.89999,309.59,4,6,2017-12-23 12:00,6.0999999,2017
1,1013.7,1017.1,1023.9,2018-01-13 08:53,1006.1,2018-01-22 13:45,17.4,27.799999,2018-01-08 11:22,4.6999998,2018-01-13 06:00,14.2,1.9,10,15.7,10,2018-01-09 03:41,,78.900002,11,,2018-01-08 13:15,,2018-01-08 13:01,26,2018-01-09 00:00,83,59.200001,121.2,297.73001,5,7,2018-01-26 13:00,6.5,2018
2,1015,1018.4,1022.7,2018-02-12 09:10,1008.3,2018-02-21 15:34,16.799999,31.799999,2018-02-15 13:32,6.6999998,2018-02-06 06:52,13.4,2.2,10,11.2,20,2018-02-02 14:01,,57.900002,8,,2018-02-22 20:25,,2018-02-22 19:48,12.5,2018-02-22 00:00,81,62.599998,107.3,309.28,6,10,2018-02-15 13:00,7.3000002,2018
3,1012.1,1015.5,1019.2,2018-03-11 08:59,1005.5,2018-03-19 14:58,21,32.400002,2018-03-05 13:15,10.4,2018-03-10 06:00,16.5,1.7,10,12.7,20,2018-03-21 12:22,,25.700001,3,,2018-03-20 07:51,,2018-03-15 18:32,22.5,2018-03-15 00:00,77,111.6,221.89999,520.41998,8,10,2018-03-28 13:00,4.0999999,2018
4,1010.3,1013.6,1018.9,2018-04-07 21:12,1003.4,2018-04-23 16:10,24.6,34.200001,2018-04-23 12:00,13.4,2018-04-08 05:28,19.700001,1.6,280,11.9,340,2018-04-06 19:23,,10.8,3,,2018-04-17 02:36,,2018-04-17 02:23,6,2018-04-17 00:00,75,131.8,181,533.08002,9,11,2018-04-12 13:00,6.6999998,2018
5,1007.6,1010.9,1014.3,2018-05-05 07:50,1002.9,2018-05-25 15:41,28.5,35.5,2018-05-29 13:03,21.299999,2018-05-10 04:58,23.5,1.9,240,14,260,2018-05-06 15:01,,9.8999996,3,,2018-05-08 04:26,,2018-05-08 04:06,29,2018-05-08 00:00,76,176.60001,247.5,649.28998,10,12,2018-05-02 13:00,5.5999999,2018
6,1002.6,1005.8,1009.2,2018-06-25 21:37,991.5,2018-06-15 04:15,28.5,36.700001,2018-06-06 11:17,23.1,2018-06-28 04:25,24.299999,1.8,300,12.6,250,2018-06-19 07:58,,88.400002,18,,2018-06-19 07:54,,2018-06-19 07:32,115.5,2018-06-19 00:00,79,136.60001,176,510.17001,9,12,2018-06-09 13:00,7.4000001,2018
7,1001.6,1004.8,1006.2,2018-07-27 22:33,995.09998,2018-07-11 05:13,29,36.5,2018-07-18 14:09,23.700001,2018-07-08 05:22,24.700001,1.9,240,13.8,150,2018-07-08 16:07,,68.599998,22,,2018-07-08 16:09,,2018-07-08 15:45,152,2018-07-02 00:00,79,135.2,173.3,523.34003,10,12,2018-07-18 13:00,7,2018
8,1000,1003.3,1009.9,2018-08-31 09:43,990.59998,2018-08-23 16:03,28.299999,35.299999,2018-08-05 13:05,22.799999,2018-08-23 20:42,23.9,2,170,18.799999,130,2018-08-23 18:12,,144.7,24,,2018-08-24 02:32,,2018-08-24 02:17,417,2018-08-24 00:00,78,120.6,144.10001,468.39999,9,13,2018-08-16 13:00,7.6999998,2018
9,1005,1008.3,1012.5,2018-09-17 22:26,995.29999,2018-09-15 15:12,28.1,34.599998,2018-09-17 12:22,20.4,2018-09-30 05:39,23.6,1.7,10,14,10,2018-09-29 09:30,,23.6,9,,2018-09-08 13:42,,2018-09-06 14:14,55.5,2018-09-08 00:00,78,139.10001,207.10001,514.5,10,12,2018-09-07 12:00,6,2018
10,1010.6,1013.9,1016.7,2018-10-20 09:09,1004.2,2018-10-05 14:21,24.6,32.900002,2018-10-01 13:16,14.8,2018-10-29 04:16,19.6,1.3,10,15.9,10,2018-10-04 15:42,,19.6,4,,2018-10-19 06:54,,2018-10-19 05:58,5,2018-10-19 00:00,75,121.1,227.10001,485.75,8,9,2018-10-05 12:00,4.3000002,2018
11,1013,1016.4,1018.4,2018-11-29 09:34,1007.2,2018-11-02 02:10,23.1,32.299999,2018-11-03 12:42,15.4,2018-11-24 05:36,19.200001,1.3,20,11,20,2018-11-25 19:35,,21.200001,4,,2018-11-28 03:34,,2018-11-28 03:53,3.5,2018-11-28 00:00,80,80.699997,157.8,346.75,6,8,2018-11-03 12:00,5.5,2018
12,1014.8,1018.2,1022,2018-12-31 09:06,1006.9,2018-12-26 13:27,20.700001,31.6,2018-12-06 12:33,10.8,2018-12-30 06:14,15.9,2,10,10.6,360,2018-12-27 15:49,,.89999998,0,,2018-12-09 04:45,,2018-12-09 04:45,-9.8000002,2018-12-09 00:00,75,91.900002,189.39999,360.29999,6,7,2018-12-26 12:00,4.8000002,2018
